"","X","Source","Year","Mean"
"1",2,"GISTEMP",2016,0.99
"2",4,"GISTEMP",2015,0.87
"3",6,"GISTEMP",2014,0.74
"4",8,"GISTEMP",2013,0.65
"5",10,"GISTEMP",2012,0.63
"6",12,"GISTEMP",2011,0.6
"7",14,"GISTEMP",2010,0.71
"8",16,"GISTEMP",2009,0.64
"9",18,"GISTEMP",2008,0.54
"10",20,"GISTEMP",2007,0.66
"11",22,"GISTEMP",2006,0.63
"12",24,"GISTEMP",2005,0.69
"13",26,"GISTEMP",2004,0.55
"14",28,"GISTEMP",2003,0.62
"15",30,"GISTEMP",2002,0.63
"16",32,"GISTEMP",2001,0.55
"17",34,"GISTEMP",2000,0.42
"18",36,"GISTEMP",1999,0.42
"19",38,"GISTEMP",1998,0.64
"20",40,"GISTEMP",1997,0.48
"21",42,"GISTEMP",1996,0.35
"22",44,"GISTEMP",1995,0.46
"23",46,"GISTEMP",1994,0.32
"24",48,"GISTEMP",1993,0.24
"25",50,"GISTEMP",1992,0.23
"26",52,"GISTEMP",1991,0.43
"27",54,"GISTEMP",1990,0.44
"28",56,"GISTEMP",1989,0.29
"29",58,"GISTEMP",1988,0.41
"30",60,"GISTEMP",1987,0.33
"31",62,"GISTEMP",1986,0.19
"32",64,"GISTEMP",1985,0.12
"33",66,"GISTEMP",1984,0.15
"34",68,"GISTEMP",1983,0.3
"35",70,"GISTEMP",1982,0.13
"36",72,"GISTEMP",1981,0.33
"37",74,"GISTEMP",1980,0.27
"38",76,"GISTEMP",1979,0.17
"39",78,"GISTEMP",1978,0.07
"40",80,"GISTEMP",1977,0.18
"41",82,"GISTEMP",1976,-0.11
"42",84,"GISTEMP",1975,-0.02
"43",86,"GISTEMP",1974,-0.07
"44",88,"GISTEMP",1973,0.15
"45",90,"GISTEMP",1972,0.01
"46",92,"GISTEMP",1971,-0.09
"47",94,"GISTEMP",1970,0.02
"48",96,"GISTEMP",1969,0.07
"49",98,"GISTEMP",1968,-0.07
"50",100,"GISTEMP",1967,-0.02
"51",102,"GISTEMP",1966,-0.05
"52",104,"GISTEMP",1965,-0.1
"53",106,"GISTEMP",1964,-0.2
"54",108,"GISTEMP",1963,0.06
"55",110,"GISTEMP",1962,0.03
"56",112,"GISTEMP",1961,0.05
"57",114,"GISTEMP",1960,-0.02
"58",116,"GISTEMP",1959,0.03
"59",118,"GISTEMP",1958,0.07
"60",120,"GISTEMP",1957,0.04
"61",122,"GISTEMP",1956,-0.2
"62",124,"GISTEMP",1955,-0.15
"63",126,"GISTEMP",1954,-0.13
"64",128,"GISTEMP",1953,0.08
"65",130,"GISTEMP",1952,0.01
"66",132,"GISTEMP",1951,-0.07
"67",134,"GISTEMP",1950,-0.18
"68",136,"GISTEMP",1949,-0.09
"69",138,"GISTEMP",1948,-0.09
"70",140,"GISTEMP",1947,-0.05
"71",142,"GISTEMP",1946,-0.04
"72",144,"GISTEMP",1945,0.12
"73",146,"GISTEMP",1944,0.25
"74",148,"GISTEMP",1943,0.13
"75",150,"GISTEMP",1942,0.09
"76",152,"GISTEMP",1941,0.12
"77",154,"GISTEMP",1940,0.08
"78",156,"GISTEMP",1939,-0.03
"79",158,"GISTEMP",1938,-0.03
"80",160,"GISTEMP",1937,-0.03
"81",162,"GISTEMP",1936,-0.15
"82",164,"GISTEMP",1935,-0.2
"83",166,"GISTEMP",1934,-0.14
"84",168,"GISTEMP",1933,-0.29
"85",170,"GISTEMP",1932,-0.17
"86",172,"GISTEMP",1931,-0.09
"87",174,"GISTEMP",1930,-0.15
"88",176,"GISTEMP",1929,-0.36
"89",178,"GISTEMP",1928,-0.21
"90",180,"GISTEMP",1927,-0.21
"91",182,"GISTEMP",1926,-0.1
"92",184,"GISTEMP",1925,-0.21
"93",186,"GISTEMP",1924,-0.28
"94",188,"GISTEMP",1923,-0.24
"95",190,"GISTEMP",1922,-0.28
"96",192,"GISTEMP",1921,-0.21
"97",194,"GISTEMP",1920,-0.27
"98",196,"GISTEMP",1919,-0.22
"99",198,"GISTEMP",1918,-0.26
"100",200,"GISTEMP",1917,-0.4
"101",202,"GISTEMP",1916,-0.34
"102",204,"GISTEMP",1915,-0.11
"103",206,"GISTEMP",1914,-0.16
"104",208,"GISTEMP",1913,-0.34
"105",210,"GISTEMP",1912,-0.35
"106",212,"GISTEMP",1911,-0.44
"107",214,"GISTEMP",1910,-0.42
"108",216,"GISTEMP",1909,-0.47
"109",218,"GISTEMP",1908,-0.43
"110",220,"GISTEMP",1907,-0.4
"111",222,"GISTEMP",1906,-0.23
"112",224,"GISTEMP",1905,-0.28
"113",226,"GISTEMP",1904,-0.44
"114",228,"GISTEMP",1903,-0.35
"115",230,"GISTEMP",1902,-0.27
"116",232,"GISTEMP",1901,-0.15
"117",234,"GISTEMP",1900,-0.09
"118",236,"GISTEMP",1899,-0.16
"119",238,"GISTEMP",1898,-0.28
"120",240,"GISTEMP",1897,-0.11
"121",242,"GISTEMP",1896,-0.15
"122",244,"GISTEMP",1895,-0.21
"123",246,"GISTEMP",1894,-0.31
"124",248,"GISTEMP",1893,-0.3
"125",250,"GISTEMP",1892,-0.27
"126",252,"GISTEMP",1891,-0.24
"127",254,"GISTEMP",1890,-0.37
"128",256,"GISTEMP",1889,-0.12
"129",258,"GISTEMP",1888,-0.2
"130",260,"GISTEMP",1887,-0.33
"131",262,"GISTEMP",1886,-0.31
"132",264,"GISTEMP",1885,-0.32
"133",266,"GISTEMP",1884,-0.28
"134",268,"GISTEMP",1883,-0.21
"135",270,"GISTEMP",1882,-0.1
"136",272,"GISTEMP",1881,-0.12
"137",274,"GISTEMP",1880,-0.2
