year,decline,decline_offset
2002.29,0,0
2002.35,66.22,2.207333333
2002.62,-169.61,-5.653666667
2002.71,179.38,5.979333333
2002.79,39.72,1.324
2002.87,-74.15,-2.471666667
2002.96,-42.3,-1.41
2003.04,-243,-8.1
2003.12,-163.73,-5.457666667
2003.2,-233.19,-7.773
2003.29,-134.7,-4.49
2003.36,-18.94,-0.631333333
2003.54,-129.97,-4.332333333
2003.62,-108.26,-3.608666667
2003.71,-38.78,-1.292666667
2003.79,-72.68,-2.422666667
2003.87,-98.2,-3.273333333
2003.96,-76.7,-2.556666667
2004.02,-213.58,-7.119333333
2004.13,-600.38,-20.01266667
2004.21,-314.89,-10.49633333
2004.29,-405.74,-13.52466667
2004.37,-90.98,-3.032666667
2004.46,-89.88,-2.996
2004.54,-322.5,-10.75
2004.62,-351.72,-11.724
2004.71,-278.59,-9.286333333
2004.79,86.13,2.871
2004.87,-174.49,-5.816333333
2004.96,-225.6,-7.52
2005.04,-316.99,-10.56633333
2005.12,-374.93,-12.49766667
2005.2,-358.97,-11.96566667
2005.29,-272.86,-9.095333333
2005.37,-281.5,-9.383333333
2005.46,-191.01,-6.367
2005.54,-119.96,-3.998666667
2005.62,-334.77,-11.159
2005.71,-102.96,-3.432
2005.79,-115.63,-3.854333333
2005.87,-90.77,-3.025666667
2005.96,-131.86,-4.395333333
2006.04,-310.88,-10.36266667
2006.12,-337.76,-11.25866667
2006.2,-294.35,-9.811666667
2006.29,-303.21,-10.107
2006.37,-171.01,-5.700333333
2006.45,-148.04,-4.934666667
2006.54,-188.59,-6.286333333
2006.62,6.51,0.217
2006.71,-3.71,-0.123666667
2006.79,-66.25,-2.208333333
2006.87,-155.1,-5.17
2006.96,-241.1,-8.036666667
2007.04,-449.31,-14.977
2007.12,-422.94,-14.098
2007.2,-452.62,-15.08733333
2007.29,-349.88,-11.66266667
2007.37,-63.14,-2.104666667
2007.45,-262.08,-8.736
2007.54,-289.9,-9.663333333
2007.62,-214.5,-7.15
2007.71,-188.82,-6.294
2007.79,-365.17,-12.17233333
2007.87,-459.86,-15.32866667
2007.96,-463.3,-15.44333333
2008.04,-709.52,-23.65066667
2008.12,-669.16,-22.30533333
2008.21,-655.97,-21.86566667
2008.29,-511.05,-17.035
2008.37,-511.63,-17.05433333
2008.46,-476.51,-15.88366667
2008.54,-757.3,-25.24333333
2008.62,-812.45,-27.08166667
2008.71,-532.44,-17.748
2008.79,-530.94,-17.698
2008.87,-469.36,-15.64533333
2008.96,-565.27,-18.84233333
2009.04,-676.08,-22.536
2009.12,-635.3,-21.17666667
2009.2,-587.24,-19.57466667
2009.29,-572.32,-19.07733333
2009.37,-563.23,-18.77433333
2009.46,-561.75,-18.725
2009.54,-538.92,-17.964
2009.62,-544.66,-18.15533333
2009.71,-536.41,-17.88033333
2009.79,-540.57,-18.019
2009.87,-579.22,-19.30733333
2009.96,-580.83,-19.361
2010.04,-841.22,-28.04066667
2010.12,-666.95,-22.23166667
2010.2,-616.3,-20.54333333
2010.29,-698.7,-23.29
2010.37,-720.37,-24.01233333
2010.45,-801.2,-26.70666667
2010.54,-1062.5,-35.41666667
2010.62,-945.17,-31.50566667
2010.71,-831.79,-27.72633333
2010.79,-924.63,-30.821
2010.87,-920.51,-30.68366667
2010.96,-783.97,-26.13233333
2011.13,-1026.55,-34.21833333
2011.2,-1080.86,-36.02866667
2011.29,-1131.65,-37.72166667
2011.37,-1010.17,-33.67233333
2011.55,-1029.31,-34.31033333
2011.62,-945.75,-31.525
2011.71,-819.77,-27.32566667
2011.79,-906.55,-30.21833333
2011.83,-603.5,-20.11666667
2012,-941.42,-31.38066667
2012.04,-1059.32,-35.31066667
2012.12,-1081.6,-36.05333333
2012.21,-1020.19,-34.00633333
2012.27,-1039.17,-34.639
2012.46,-1020.21,-34.007
2012.54,-1188.31,-39.61033333
2012.62,-979.89,-32.663
2012.7,-728.74,-24.29133333
2012.89,-804.92,-26.83066667
2012.96,-989.01,-32.967
2013.04,-1215.15,-40.505
2013.12,-1323.72,-44.124
2013.3,-1111.77,-37.059
2013.37,-988.88,-32.96266667
2013.46,-983.87,-32.79566667
2013.54,-1077.79,-35.92633333
2013.79,-1060.77,-35.359
2013.87,-1207.44,-40.248
2013.96,-1155.68,-38.52266667
2014.02,-1421.03,-47.36766667
2014.21,-1603.4,-53.44666667
2014.29,-1379.76,-45.992
2014.37,-1246.26,-41.542
2014.45,-1472.93,-49.09766667
2014.62,-1525.72,-50.85733333
2014.71,-1245.8,-41.52666667
2014.79,-1372.65,-45.755
2014.88,-1312.98,-43.766
2015.06,-1680.39,-56.013
2015.12,-1692.71,-56.42366667
2015.2,-1800.97,-60.03233333
2015.29,-1818.54,-60.618
2015.32,-1727.44,-57.58133333
2015.53,-1855.7,-61.85666667
2015.62,-1924.04,-64.13466667
2015.7,-1767.49,-58.91633333
2015.97,-1627.37,-54.24566667
2016.04,-1594.66,-53.15533333
2016.12,-1671.97,-55.73233333
2016.21,-1508.3,-50.27666667
2016.38,-1747.09,-58.23633333
2016.46,-1595.18,-53.17266667
2016.54,-1721.31,-57.377
2016.64,-1747.16,-58.23866667
2016.91,-1405.43,-46.84766667
2016.98,-1813.63,-60.45433333
2017.06,-1915.45,-63.84833333
2017.25,-1854.7,-61.82333333
2017.31,-1262.9,-42.09666667
2017.36,-1648.82,-54.96066667
2017.44,-1869.99,-62.333